overlay,id_exp_icpms,name_isotope_analyte,name_isotope_internalstandard,id_data_icpms,t_delaycorrected__timestamp_sfc_pc_synchronized__s,dm_dt_S__ng_s_cm2geo_fc_top_cell_Aideal
first,190,Ti47,Sc45,49515,76.756007,0.007533956608045571
first,190,Ti47,Sc45,49516,76.960109,0.007825429287456437
first,190,Ti47,Sc45,49517,77.16421,0.010302641857169696
first,190,Ti47,Sc45,49518,77.368312,0.012342723827336817
first,190,Ti47,Sc45,49519,77.572414,0.008262709623433222
first,190,Ti47,Sc45,49520,77.776515,0.007097014544462147
first,190,Ti47,Sc45,49521,77.97964,0.010302850459521297
first,190,Ti47,Sc45,49522,78.183742,0.01074005862250089
first,190,Ti47,Sc45,49523,78.387843,0.010011517161846
first,190,Ti47,Sc45,49524,78.591945,0.011905924105496374
first,190,Ti47,Sc45,49525,78.796046,0.007825816817006092
first,190,Ti47,Sc45,49526,79.000148,0.008263022248912046
first,190,Ti47,Sc45,49527,79.20425,0.008408788362392516
first,190,Ti47,Sc45,49528,79.408351,0.010303217714707125
first,190,Ti47,Sc45,49529,79.612453,0.009866103005363551
first,190,Ti47,Sc45,49530,79.816554,0.00884609326317593
first,190,Ti47,Sc45,49531,80.019679,0.009574757690450362
first,190,Ti47,Sc45,49532,80.223781,0.011906391930931485
first,190,Ti47,Sc45,49533,80.427882,0.01088637836416932
first,190,Ti47,Sc45,49534,80.631984,0.008992006398109348
first,190,Ti47,Sc45,49535,80.836085,0.010303584989176768
first,190,Ti47,Sc45,49536,81.040187,0.008700649062888097
first,190,Ti47,Sc45,49537,81.244289,0.01205241110043048
first,190,Ti47,Sc45,49538,81.44839,0.008263560045688354
first,190,Ti47,Sc45,49539,81.652492,0.008700788436704973
first,190,Ti47,Sc45,49540,81.856593,0.010595304147990904
first,190,Ti47,Sc45,49541,82.059718,0.009720984008709372
first,190,Ti47,Sc45,49542,82.26382,0.009721034294105037
first,190,Ti47,Sc45,49543,82.467921,0.010158274711251393
first,190,Ti47,Sc45,49544,82.672023,0.011032710179445739
first,190,Ti47,Sc45,49545,82.876125,0.011324227659252112
first,190,Ti47,Sc45,49546,83.080226,0.011470015642290532
first,190,Ti47,Sc45,49547,83.284328,0.010595677832355517
first,190,Ti47,Sc45,49548,83.488429,0.011324395218438118
first,190,Ti47,Sc45,49549,83.692531,0.010304318346576762
first,190,Ti47,Sc45,49550,83.896632,0.010304370821433602
first,190,Ti47,Sc45,49551,84.099757,0.01176176733268336
first,190,Ti47,Sc45,49552,84.303859,0.008409921419452352
